course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject,date,free_or_paid,free_beginner_courses,revenue
114518,Improve Your Financial Literacy,https://www.udemy.com/improve-your-financial-literacy-in-less-than-three-hours/,$0.00,9995,96,10,All Levels,0.81,2,2014-02-10T03:50:00Z,Business Finance,2014-02-10,free,Not free beginner,$0.00
1004788,Getting Started with Craft CMS,https://www.udemy.com/craft-cms/,$20.00,997,31,20,Beginner Level,0.89,2,2016-11-07T22:03:01Z,Web Development,2016-11-07,paid,Not free beginner,"$19,940.00"
1093734,HTML5 and CSS3 for beginners: Create a Website from Scratch,https://www.udemy.com/html5-and-css3-for-beginners-create-a-website-from-scratch/,$200.00,9945,101,43,Intermediate Level,0.76,2,2017-02-17T22:15:48Z,Web Development,2017-02-17,paid,Not free beginner,"$1,989,000.00"
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,https://www.udemy.com/leaps-options-trading-system-diagonal-leaps-options-spread/,$200.00,993,19,16,Beginner Level,0.89,1,2017-01-19T19:09:29Z,Business Finance,2017-01-19,paid,Not free beginner,"$198,600.00"
566856,Learn Monster GODJ,https://www.udemy.com/learn-monster-godj/,$0.00,991,29,12,Beginner Level,0.44,1,2015-07-29T17:49:53Z,Musical Instruments,2015-07-29,free,Free beginner,$0.00
425338,Basics of Trading,https://www.udemy.com/basicsoftrading/,$40.00,99,17,27,Beginner Level,0.96,1,2015-04-06T20:00:01Z,Business Finance,2015-04-06,paid,Not free beginner,"$3,960.00"
498360,Trading For Busy People,https://www.udemy.com/trading-for-busy-people/,$50.00,99,12,26,All Levels,0.96,3,2015-07-06T22:22:25Z,Business Finance,2015-07-06,paid,Not free beginner,"$4,950.00"
456988,Graphic Design Bootcamp: Professional Workflow & Layout Tips,https://www.udemy.com/graphic-design-bootcamp-layout-and-workflow-basics/,$20.00,99,10,9,Beginner Level,0.98,1.5,2015-03-26T18:24:10Z,Graphic Design,2015-03-26,paid,Not free beginner,"$1,980.00"
1188178,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,$50.00,989,9,11,All Levels,0.1,1,2017-04-24T16:42:56Z,Business Finance,2017-04-24,paid,Not free beginner,"$49,450.00"
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,$0.00,98867,6512,20,All Levels,0.82,3,2015-04-13T18:29:47Z,Web Development,2015-04-13,free,Not free beginner,$0.00
30240,The Ultimate Web Development Course,https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/,$50.00,9881,329,136,Intermediate Level,0.28,12,2013-08-25T16:16:52Z,Web Development,2013-08-25,paid,Not free beginner,"$494,050.00"
922750,HTML : HTML Awesomeness,https://www.udemy.com/html-awesomeness/,$25.00,988,23,27,All Levels,0.89,0.6333333333,2016-08-17T19:33:35Z,Web Development,2016-08-17,paid,Not free beginner,"$24,700.00"
410974,Learn After Effects and master 3d layers in after effects,https://www.udemy.com/the-basics-of-after-effects/,$20.00,987,2,29,All Levels,0.76,1.5,2015-02-23T08:05:26Z,Graphic Design,2015-02-23,paid,Not free beginner,"$19,740.00"
364986,Apple Watch Design,https://www.udemy.com/apple-watch-design/,$20.00,9847,24,35,All Levels,0.94,4,2014-12-29T04:59:24Z,Graphic Design,2014-12-29,paid,Not free beginner,"$196,940.00"
772950,Learn How to Trade The Stock Market,https://www.udemy.com/complete-course-for-stock-trading-all-skill-levels/,$20.00,984,3,41,All Levels,0.19,4,2016-03-02T18:19:36Z,Business Finance,2016-03-02,paid,Not free beginner,"$19,680.00"
212376,Getting Started as a Web Developer,https://www.udemy.com/refactoru-getting-started-as-a-web-developer/,$0.00,9833,241,15,Expert Level,0.64,1,2014-08-16T22:20:47Z,Web Development,2014-08-16,free,Not free beginner,$0.00
978852,Beginning Web development Learn the basics of HTML,https://www.udemy.com/learn-the-basics-of-html-in-less-than-a-week/,$95.00,9832,71,59,All Levels,0.34,2,2017-01-06T15:14:59Z,Web Development,2017-01-06,paid,Not free beginner,"$934,040.00"
1017568,The Complete PHP Bootcamp Course With Video Sharing Project,https://www.udemy.com/php-bootcamp/,$195.00,9831,56,74,Intermediate Level,1,14.5,2017-03-21T23:50:38Z,Web Development,2017-03-21,paid,Not free beginner,"$1,917,045.00"
980408,Introduction to the economics of public services regulation,https://www.udemy.com/introduction-to-the-economics-of-public-services-regulation/,$80.00,98,35,69,Beginner Level,0.96,8,2017-01-03T17:57:55Z,Business Finance,2017-01-03,paid,Not free beginner,"$7,840.00"
139784,Learn to improvise on your harmonica - in nice easy steps,https://www.udemy.com/benhewlettharmonicatuitionb4/,$35.00,98,1,15,All Levels,0.6,2,2014-03-16T18:28:46Z,Musical Instruments,2014-03-16,paid,Not free beginner,"$3,430.00"
349142,Master Oboe Playing: Intermediate Instruction Made Simple!,https://www.udemy.com/oboe-beyond-beginner/,$50.00,98,6,73,Intermediate Level,0.34,5.5,2015-01-01T01:25:10Z,Musical Instruments,2015-01-01,paid,Not free beginner,"$4,900.00"
939668,Learn 3 - All Time A R Rahman Hits on Carnatic Flute!,https://www.udemy.com/arrahman-hits/,$70.00,98,18,31,All Levels,1,2.5,2016-12-13T22:38:05Z,Musical Instruments,2016-12-13,paid,Not free beginner,"$6,860.00"
761122,Blues Guitar Lessons - Volume 3 - Minor Blues Essentials,https://www.udemy.com/blues-guitar-lessons-volume-3-minor-blues-essentials/,$45.00,98,5,14,Beginner Level,0.22,2,2016-02-13T02:57:32Z,Musical Instruments,2016-02-13,paid,Not free beginner,"$4,410.00"
651014,Adobe Photoshop (Complete Beginner),https://www.udemy.com/learn-adobe-photoshop-complete-beginner-to-a-fricken-master/,$200.00,98,3,33,All Levels,0.98,2,2015-12-09T17:17:38Z,Graphic Design,2015-12-09,paid,Not free beginner,"$19,600.00"
465870,Beginning Oracle WebLogic for Administrators,https://www.udemy.com/learn-oracle-weblogic-12c-essentials/,$0.00,9786,989,7,Beginner Level,0.14,0.7,2015-04-15T18:28:50Z,Web Development,2015-04-15,free,Free beginner,$0.00
745110,MQL5 Tutorial Bootcamp,https://www.udemy.com/mql5-tutorial-bootcamp/,$20.00,978,7,13,All Levels,0.88,0.5333333333,2016-01-29T00:11:42Z,Business Finance,2016-01-29,paid,Not free beginner,"$19,560.00"
991290,Dynamic JavaScript Master Class AJAX JSON Simple APIs,https://www.udemy.com/ajax-course/,$200.00,9773,117,65,Beginner Level,0.47,4.5,2016-10-24T15:36:40Z,Web Development,2016-10-24,paid,Not free beginner,"$1,954,600.00"
992114,"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",https://www.udemy.com/build-a-complete-crud-application-with-php-mysql-jquery/,$20.00,9762,94,112,Intermediate Level,0.13,13.5,2016-11-01T15:30:36Z,Web Development,2016-11-01,paid,Not free beginner,"$195,240.00"
611688,PSD to Bootstrap 3 for Beginners using HTML & CSS,https://www.udemy.com/psd-to-bootstrap/,$20.00,976,93,46,Beginner Level,0.89,2.5,2015-11-03T21:03:34Z,Web Development,2015-11-03,paid,Not free beginner,"$19,520.00"
260444,Build a file hosting/sharing site in less than 2 hours,https://www.udemy.com/build-a-file-hosting-site-in-less-than-2-hours/,$20.00,976,29,13,All Levels,0.89,1.5,2014-07-14T18:43:39Z,Web Development,2014-07-14,paid,Not free beginner,"$19,520.00"
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,$120.00,975,23,23,Beginner Level,0.88,1,2015-09-30T18:57:45Z,Business Finance,2015-09-30,paid,Not free beginner,"$117,000.00"
975906,The Sass Course! Learn Sass for Real-World Websites,https://www.udemy.com/learn-sass/,$95.00,975,141,18,All Levels,0.89,3.5,2016-12-08T16:53:19Z,Web Development,2016-12-08,paid,Not free beginner,"$92,625.00"
876646,Direction-Independ Trading - Elite Forex Traders Strategy,https://www.udemy.com/direction-independ-trading-elite-traders-forex-strategy/,$120.00,973,15,28,Beginner Level,0.88,2.5,2016-06-21T22:46:41Z,Business Finance,2016-06-21,paid,Not free beginner,"$116,760.00"
